,0,1,2,3,4,5,6,7,8
91,PG&E Recovery Funding LLC,—,"25-Mar-2022, 03:47",24-Mar-2022,31-Dec-2021,PG&E Recovery Funding LLC 10-K,US,Corporate Financial Services (NEC),22766136
92,WindGen Energy Inc,WGEI.PK,"19-Mar-2022, 02:45",18-Mar-2022,31-Dec-2021,"WINDGEN ENERGY, INC. 10-K",US,Electric Utilities (NEC),22751888
93,Consumers 2014 Securitization Funding LLC,—,"15-Mar-2022, 23:28",15-Mar-2022,31-Dec-2021,Consumers 2014 Securitization Funding LLC 10-K,US,—,22739493
94,Pineapple Energy Inc,PEGY.OQ,"15-Mar-2022, 05:18",14-Mar-2022,31-Dec-2021,COMMUNICATIONS SYSTEMS INC 10-K,US,Electric Utilities (NEC),22736608
95,Tri-State Generation and Transmission Association Inc,—,"10-Mar-2022, 04:09",09-Mar-2022,31-Dec-2021,"Tri-State Generation&Transmission Association, Inc. 10-K",US,Electric Utilities (NEC),22724931
96,Cleco Corporate Holdings LLC,CNL.N^D16,"08-Mar-2022, 20:14",08-Mar-2022,31-Dec-2021,Cleco Corporate Holdings LLC 10-K,US,Electric Utilities (NEC),22719526
97,Via Renewables Inc,VIA.OQ,"04-Mar-2022, 02:51",03-Mar-2022,31-Dec-2021,"Via Renewables, Inc. 10-K",US,Electric Utilities (NEC),22707524
98,PNM Resources Inc,PNM.N,"02-Mar-2022, 07:55",01-Mar-2022,31-Dec-2021,PNM RESOURCES INC 10-K,US,Electric Utilities (NEC),22698113
99,DPL Inc,DPL.N^K11,"28-Feb-2022, 21:05",28-Feb-2022,31-Dec-2021,DPL INC 10-K,US,Electric Utilities (NEC),22683865
100,,IPL.N^C01,,,,,,,
101,AES Corp,AES.N,"28-Feb-2022, 20:33",28-Feb-2022,31-Dec-2021,AES CORP 10-K,US,Electric Utilities (NEC),22683808
102,Berkshire Hathaway Energy Co,—,"28-Feb-2022, 20:21",28-Feb-2022,31-Dec-2021,BERKSHIRE HATHAWAY ENERGY CO 10-K,US,Electric Utilities (NEC),22682538
103,Clearway Energy LLC,—,"28-Feb-2022, 20:14",28-Feb-2022,31-Dec-2021,Clearway Energy LLC 10-K,US,Electric Utilities (NEC),22683184
104,Hawaiian Electric Company Inc,HAWLI.PK,"26-Feb-2022, 09:07",25-Feb-2022,31-Dec-2021,HAWAIIAN ELECTRIC INDUSTRIES INC 10-K,US,Electric Utilities (NEC),22681027
105,Oncor Electric Delivery Company LLC,—,"26-Feb-2022, 07:16",25-Feb-2022,31-Dec-2021,ONCOR ELECTRIC DELIVERY CO LLC 10-K,US,Electric Utilities (NEC),22680267
106,San Diego Gas & Electric Co,SDO_ph.A^J13,"26-Feb-2022, 06:04",25-Feb-2022,31-Dec-2021,SEMPRA ENERGY 10-K,US,Electric Utilities (NEC),22679453
107,Atlantic City Electric Co,ANTEM.PK^C11,"26-Feb-2022, 05:54",25-Feb-2022,31-Dec-2021,EXELON CORP 10-K,US,Electric Utilities (NEC),22678908
108,Constellation Energy Corp,CEG.OQ,"26-Feb-2022, 04:53",25-Feb-2022,31-Dec-2021,Constellation Energy Corp 10-K,US,Electric Utilities (NEC),22678447
109,Entergy Arkansas LLC,EGRKM.PK^K18,"26-Feb-2022, 00:58",25-Feb-2022,31-Dec-2021,ENTERGY CORP /DE/ 10-K,US,Electric Utilities (NEC),22675629
110,Arizona Public Service Co,AZD.N^A00,"25-Feb-2022, 22:40",25-Feb-2022,31-Dec-2021,PINNACLE WEST CAPITAL CORP 10-K,US,Electric Utilities (NEC),22674655
