,0,1,2,3
361,Orbital Infrastructure Group Inc,14-Mar-2017,31-Dec-2016,OIGBQ.PK
362,Tri-State Generation and Transmission Association Inc,10-Mar-2017,31-Dec-2016,—
363,US Geothermal Inc,09-Mar-2017,31-Dec-2016,HTM.A^D18
364,Oncor Electric Delivery Company LLC,09-Mar-2017,31-Dec-2016,—
365,Consumers 2014 Securitization Funding LLC,09-Mar-2017,31-Dec-2016,—
366,Via Renewables Inc,03-Mar-2017,31-Dec-2016,VIA.OQ
367,Puget Energy Inc,03-Mar-2017,31-Dec-2016,PSD.N^B09
368,Atlantic Power Corp,02-Mar-2017,31-Dec-2016,AT.N^E21
369,Black Hills Power Inc,01-Mar-2017,31-Dec-2016,—
370,American Electric Power Company Inc,28-Feb-2017,31-Dec-2016,AEP.OQ
371,Clearway Energy LLC,28-Feb-2017,31-Dec-2016,—
372,Wisconsin Electric Power Co,28-Feb-2017,31-Dec-2016,WELPP.PK
373,Wisconsin Public Service Corp,28-Feb-2017,31-Dec-2016,WIPSI.PK^K15
374,PNM Resources Inc,28-Feb-2017,31-Dec-2016,PNM.N
375,Ameren Corp,28-Feb-2017,31-Dec-2016,AEE.N
376,Dominion Energy Inc,28-Feb-2017,31-Dec-2016,D.N
377,Centerpoint Energy Houston Electric LLC,28-Feb-2017,31-Dec-2016,HSLPP.PK^H09
378,American Electric Power Company Inc,28-Feb-2017,31-Dec-2016,AEP.OQ
379,AES Corp,27-Feb-2017,31-Dec-2016,AES.N
380,DPL Inc,27-Feb-2017,31-Dec-2016,DPL.N^K11
381,Dominion Energy South Carolina Inc,24-Feb-2017,31-Dec-2016,SCG_p.N^L09
382,El Paso Electric Co,24-Feb-2017,31-Dec-2016,EE.N^G20
383,Northern States Power Co,24-Feb-2017,31-Dec-2016,—
384,Northern States Power Co (Wisconsin),24-Feb-2017,31-Dec-2016,—
385,Southwestern Public Service Co,24-Feb-2017,31-Dec-2016,SPS.N^H97
386,MGE Energy Inc,24-Feb-2017,31-Dec-2016,MGEE.OQ
387,Connecticut Light and Power Co,23-Feb-2017,31-Dec-2016,CNLPL.PK
388,OGE Energy Corp,23-Feb-2017,31-Dec-2016,OGE.N
389,Cleco Corporate Holdings LLC,22-Feb-2017,31-Dec-2016,CNL.N^D16
390,Edison International,21-Feb-2017,31-Dec-2016,EIX.N
391,ITC Holdings Corp,16-Feb-2017,31-Dec-2016,ITC.N^J16
392,Tucson Electric Power Co,16-Feb-2017,31-Dec-2016,—
393,ALLETE Inc,15-Feb-2017,31-Dec-2016,ALE.N
394,Tampa Electric Co,13-Feb-2017,31-Dec-2016,TAECM.PK^L04
395,Calpine Corp,10-Feb-2017,31-Dec-2016,CPN.N^C18
396,CMS Energy Corp,07-Feb-2017,31-Dec-2016,CMS.N
397,Tennessee Valley Authority,15-Nov-2016,30-Sep-2016,TVC.N
398,Principal Solar Inc,14-Apr-2016,31-Dec-2015,PSWW.PK
399,Avangrid Inc,01-Apr-2016,31-Dec-2015,AGR.N
400,EuroSite Power Inc,30-Mar-2016,31-Dec-2015,EUSP.PK
401,CenterPoint Energy Transition Bond IV Co LLC,30-Mar-2016,31-Dec-2015,—
402,CenterPoint Energy Transition Bond II Co LLC,30-Mar-2016,31-Dec-2015,—
403,AEP Texas Central Transition Funding II LLC,30-Mar-2016,31-Dec-2015,—
404,Summer Energy Holdings Inc,30-Mar-2016,31-Dec-2015,SUME.PK
405,Entergy Gulf States Reconstruction Funding I LLC,29-Mar-2016,31-Dec-2015,—
406,Entergy Texas Restoration Funding LLC,29-Mar-2016,31-Dec-2015,—
407,Entergy New Orleans Storm Recovery Funding I LLC,29-Mar-2016,31-Dec-2015,—
408,Cei Funding LLC,29-Mar-2016,31-Dec-2015,—
409,Chugach Electric Association Inc,24-Mar-2016,31-Dec-2015,—
410,Via Renewables Inc,24-Mar-2016,31-Dec-2015,VIA.OQ
411,Windstream Bv Holdings LLC,15-Mar-2016,31-Dec-2015,BVWN.PK^G17
412,Orbital Infrastructure Group Inc,14-Mar-2016,31-Dec-2015,OIGBQ.PK
413,Tri-State Generation and Transmission Association Inc,14-Mar-2016,31-Dec-2015,—
414,Pineapple Energy Inc,11-Mar-2016,31-Dec-2015,PEGY.OQ
415,Consumers 2014 Securitization Funding LLC,10-Mar-2016,31-Dec-2015,—
416,Greenbacker Renewable Energy Company LLC,10-Mar-2016,31-Dec-2015,—
417,Atlantic Power Corp,07-Mar-2016,31-Dec-2015,AT.N^E21
418,Sempra Texas Holdings Corp,01-Mar-2016,31-Dec-2015,—
419,Clearway Energy LLC,29-Feb-2016,31-Dec-2015,—
420,NRG Energy Inc,29-Feb-2016,31-Dec-2015,NRG.N
421,Otter Tail Corp,29-Feb-2016,31-Dec-2015,OTTR.OQ
422,El Paso Electric Co,29-Feb-2016,31-Dec-2015,EE.N^G20
423,PNM Resources Inc,29-Feb-2016,31-Dec-2015,PNM.N
424,Puget Energy Inc,29-Feb-2016,31-Dec-2015,PSD.N^B09
425,Black Hills Power Inc,29-Feb-2016,31-Dec-2015,—
426,OGE Energy Corp,26-Feb-2016,31-Dec-2015,OGE.N
427,Connecticut Light and Power Co,26-Feb-2016,31-Dec-2015,CNLPL.PK
428,Cleco Corporate Holdings LLC,26-Feb-2016,31-Dec-2015,CNL.N^D16
429,Wisconsin Electric Power Co,26-Feb-2016,31-Dec-2015,WELPP.PK
430,TECO Energy Inc,26-Feb-2016,31-Dec-2015,TE.N^G16
431,Dominion Energy South Carolina Inc,26-Feb-2016,31-Dec-2015,SCG_p.N^L09
432,OGE Energy Corp,26-Feb-2016,31-Dec-2015,OGE.N
433,Empire District Electric Co,26-Feb-2016,31-Dec-2015,EDE.N^A17
434,Centerpoint Energy Houston Electric LLC,26-Feb-2016,31-Dec-2015,HSLPP.PK^H09
435,Oncor Electric Delivery Transition Bond Company LLC,26-Feb-2016,31-Dec-2015,—
436,MGE Energy Inc,25-Feb-2016,31-Dec-2015,MGEE.OQ
437,ITC Holdings Corp,25-Feb-2016,31-Dec-2015,ITC.N^J16
438,DPL Inc,24-Feb-2016,31-Dec-2015,DPL.N^K11
439,Ipalco Enterprises Inc,24-Feb-2016,31-Dec-2015,IPL.N^C01
440,Edison International,23-Feb-2016,31-Dec-2015,EIX.N
441,ALLETE Inc,22-Feb-2016,31-Dec-2015,ALE.N
442,Public Service Company of Colorado,22-Feb-2016,31-Dec-2015,—
443,Northern States Power Co (Wisconsin),22-Feb-2016,31-Dec-2015,—
444,Florida Power & Light Co,22-Feb-2016,31-Dec-2015,ELB.N^L03
445,Nextera Energy Partners LP,19-Feb-2016,31-Dec-2015,NEP.N
446,Xcel Energy Inc,19-Feb-2016,31-Dec-2015,XEL.OQ
447,Atlantic City Electric Co,19-Feb-2016,31-Dec-2015,ANTEM.PK^C11
448,Consolidated Edison Company of New York Inc,18-Feb-2016,31-Dec-2015,CEDNM.PK^E12
449,PG&E Corp,18-Feb-2016,31-Dec-2015,PCG.N
450,Tucson Electric Power Co,18-Feb-2016,31-Dec-2015,—
451,Calpine Corp,12-Feb-2016,31-Dec-2015,CPN.N^C18
452,Tennessee Valley Authority,20-Nov-2015,30-Sep-2015,TVC.N
453,Solaris Power Cells Inc,21-Apr-2015,31-Dec-2014,SPCL.PK^K18
454,Premier Holding Corp,15-Apr-2015,31-Dec-2014,PRHL.PK
455,Energy Future Competitive Holdings Company LLC,31-Mar-2015,31-Dec-2014,TXHCO.PK^J05
456,Cei Funding LLC,31-Mar-2015,31-Dec-2014,—
457,EuroSite Power Inc,31-Mar-2015,31-Dec-2014,EUSP.PK
458,CenterPoint Energy Transition Bond IV Co LLC,31-Mar-2015,31-Dec-2014,—
459,CenterPoint Energy Transition Bond II Co LLC,31-Mar-2015,31-Dec-2014,—
460,Summer Energy Holdings Inc,31-Mar-2015,31-Dec-2014,SUME.PK
461,AEP Texas Central Transition Funding II LLC,30-Mar-2015,31-Dec-2014,—
462,Windstream Bv Holdings LLC,30-Mar-2015,31-Dec-2014,BVWN.PK^G17
463,Entergy Gulf States Reconstruction Funding I LLC,27-Mar-2015,31-Dec-2014,—
464,Entergy Texas Restoration Funding LLC,27-Mar-2015,31-Dec-2014,—
465,Via Renewables Inc,27-Mar-2015,31-Dec-2014,VIA.OQ
466,Oglethorpe Power Corp,26-Mar-2015,31-Dec-2014,—
467,Greenbacker Renewable Energy Company LLC,20-Mar-2015,31-Dec-2014,—
468,Chugach Electric Association Inc,20-Mar-2015,31-Dec-2014,—
469,Consumers 2014 Securitization Funding LLC,19-Mar-2015,31-Dec-2014,—
470,Principal Solar Inc,17-Mar-2015,31-Dec-2014,PSWW.PK
471,US Geothermal Inc,16-Mar-2015,31-Dec-2014,HTM.A^D18
472,Orbital Infrastructure Group Inc,16-Mar-2015,31-Dec-2014,OIGBQ.PK
473,Pineapple Energy Inc,12-Mar-2015,31-Dec-2014,PEGY.OQ
474,Centerpoint Energy Houston Electric LLC,09-Mar-2015,31-Dec-2014,HSLPP.PK^H09
475,Alabama Power Co,02-Mar-2015,31-Dec-2014,ALP_pq.N^J22
476,Wisconsin Public Service Corp,02-Mar-2015,31-Dec-2014,WIPSI.PK^K15
477,Otter Tail Corp,02-Mar-2015,31-Dec-2014,OTTR.OQ
478,MidAmerican Energy Co,02-Mar-2015,31-Dec-2014,—
479,Sierra Pacific Power Co,02-Mar-2015,31-Dec-2014,SIPFO.PK^F06
480,Pacificorp,02-Mar-2015,31-Dec-2014,PPWLO.PK
481,Nevada Power Co,02-Mar-2015,31-Dec-2014,—
482,NRG Energy Inc,27-Feb-2015,31-Dec-2014,NRG.N
483,Cleco Corporate Holdings LLC,27-Feb-2015,31-Dec-2014,CNL.N^D16
484,El Paso Electric Co,27-Feb-2015,31-Dec-2014,EE.N^G20
485,Dominion Energy South Carolina Inc,27-Feb-2015,31-Dec-2014,SCG_p.N^L09
486,Oncor Electric Delivery Transition Bond Company LLC,27-Feb-2015,31-Dec-2014,—
487,Dominion Energy Inc,27-Feb-2015,31-Dec-2014,D.N
488,Wisconsin Electric Power Co,27-Feb-2015,31-Dec-2014,WELPP.PK
489,WEC Energy Group Inc,27-Feb-2015,31-Dec-2014,WEC.N
490,TECO Energy Inc,27-Feb-2015,31-Dec-2014,TE.N^G16
491,Oncor Electric Delivery Company LLC,27-Feb-2015,31-Dec-2014,—
492,ITC Holdings Corp,26-Feb-2015,31-Dec-2014,ITC.N^J16
493,Atlantic Power Corp,26-Feb-2015,31-Dec-2014,AT.N^E21
494,Black Hills Power Inc,26-Feb-2015,31-Dec-2014,—
495,MGE Energy Inc,26-Feb-2015,31-Dec-2014,MGEE.OQ
496,OGE Energy Corp,26-Feb-2015,31-Dec-2014,OGE.N
497,UIL Holdings Corp (Pre-Merger),26-Feb-2015,31-Dec-2014,UIL.N^L15
498,AES Corp,26-Feb-2015,31-Dec-2014,AES.N
499,Ipalco Enterprises Inc,26-Feb-2015,31-Dec-2014,IPL.N^C01
500,Connecticut Light and Power Co,25-Feb-2015,31-Dec-2014,CNLPL.PK
501,Evergy Kansas Central Inc,25-Feb-2015,31-Dec-2014,WREGH.PK^F02
502,Evergy Metro Inc,25-Feb-2015,31-Dec-2014,—
503,Alliant Energy Corp,25-Feb-2015,31-Dec-2014,LNT.OQ
504,Edison International,24-Feb-2015,31-Dec-2014,EIX.N
505,Southwestern Public Service Co,23-Feb-2015,31-Dec-2014,SPS.N^H97
506,Northern States Power Co (Wisconsin),23-Feb-2015,31-Dec-2014,—
507,Arizona Public Service Co,20-Feb-2015,31-Dec-2014,AZD.N^A00
508,Nextera Energy Partners LP,20-Feb-2015,31-Dec-2014,NEP.N
509,Northern States Power Co,20-Feb-2015,31-Dec-2014,—
510,Xcel Energy Inc,20-Feb-2015,31-Dec-2014,XEL.OQ
511,Arizona Public Service Co,20-Feb-2015,31-Dec-2014,AZD.N^A00
512,Empire District Electric Co,20-Feb-2015,31-Dec-2014,EDE.N^A17
513,Tucson Electric Power Co,19-Feb-2015,31-Dec-2014,—
514,Idacorp Inc,19-Feb-2015,31-Dec-2014,IDA.N
515,ALLETE Inc,17-Feb-2015,31-Dec-2014,ALE.N
516,DTE Electric Co,13-Feb-2015,31-Dec-2014,—
517,DTE Energy Co,13-Feb-2015,31-Dec-2014,DTE.N
518,Calpine Corp,13-Feb-2015,31-Dec-2014,CPN.N^C18
519,PG&E Corp,10-Feb-2015,31-Dec-2014,PCG.N
520,Ridgewood Power Growth Fund,09-Jan-2015,31-Dec-2014,—
521,Tennessee Valley Authority,17-Nov-2014,30-Sep-2014,TVC.N
522,Greenbacker Renewable Energy Company LLC,28-Apr-2014,31-Dec-2013,—
523,Summer Energy Holdings Inc,15-Apr-2014,31-Dec-2013,SUME.PK
524,Premier Holding Corp,15-Apr-2014,31-Dec-2013,PRHL.PK
525,EuroSite Power Inc,09-Apr-2014,31-Dec-2013,EUSP.PK
526,Cei Funding LLC,31-Mar-2014,31-Dec-2013,—
527,Sierra Pacific Power Co,31-Mar-2014,31-Dec-2013,SIPFO.PK^F06
528,Nevada Power Co,31-Mar-2014,31-Dec-2013,—
529,Windstream Bv Holdings LLC,31-Mar-2014,31-Dec-2013,BVWN.PK^G17
530,CenterPoint Energy Transition Bond II Co LLC,31-Mar-2014,31-Dec-2013,—
531,CenterPoint Energy Transition Bond IV Co LLC,31-Mar-2014,31-Dec-2013,—
532,Aspirity Holdings LLC,28-Mar-2014,31-Dec-2013,—
533,Entergy Gulf States Reconstruction Funding I LLC,28-Mar-2014,31-Dec-2013,—
534,Entergy Texas Restoration Funding LLC,28-Mar-2014,31-Dec-2013,—
535,AEP Texas Central Transition Funding II LLC,28-Mar-2014,31-Dec-2013,—
536,Oglethorpe Power Corp,27-Mar-2014,31-Dec-2013,—
537,US Geothermal Inc,25-Mar-2014,31-Dec-2013,HTM.A^D18
538,Puget Energy Inc,14-Mar-2014,31-Dec-2013,PSD.N^B09
539,Edison Mission Energy,12-Mar-2014,31-Dec-2013,—
540,Centerpoint Energy Houston Electric LLC,11-Mar-2014,31-Dec-2013,HSLPP.PK^H09
541,Berkshire Hathaway Energy Co,03-Mar-2014,31-Dec-2013,—
542,Otter Tail Corp,03-Mar-2014,31-Dec-2013,OTTR.OQ
543,MidAmerican Energy Co,03-Mar-2014,31-Dec-2013,—
544,PNM Resources Inc,28-Feb-2014,31-Dec-2013,PNM.N
545,TECO Energy Inc,28-Feb-2014,31-Dec-2013,TE.N^G16
546,Atlantic City Electric Co,28-Feb-2014,31-Dec-2013,ANTEM.PK^C11
547,Oncor Electric Delivery Company LLC,28-Feb-2014,31-Dec-2013,—
548,Dominion Energy Inc,28-Feb-2014,31-Dec-2013,D.N
549,Oncor Electric Delivery Transition Bond Company LLC,28-Feb-2014,31-Dec-2013,—
550,Atlantic Power Corp,28-Feb-2014,31-Dec-2013,AT.N^E21
551,Wisconsin Public Service Corp,28-Feb-2014,31-Dec-2013,WIPSI.PK^K15
552,Black Hills Power Inc,27-Feb-2014,31-Dec-2013,—
553,San Diego Gas & Electric Co,27-Feb-2014,31-Dec-2013,SDO_ph.A^J13
554,MGE Energy Inc,27-Feb-2014,31-Dec-2013,MGEE.OQ
555,ITC Holdings Corp,27-Feb-2014,31-Dec-2013,ITC.N^J16
556,Wisconsin Electric Power Co,27-Feb-2014,31-Dec-2013,WELPP.PK
557,WEC Energy Group Inc,27-Feb-2014,31-Dec-2013,WEC.N
558,Evergy Kansas Central Inc,26-Feb-2014,31-Dec-2013,WREGH.PK^F02
559,Evergy Metro Inc,26-Feb-2014,31-Dec-2013,—
560,El Paso Electric Co,26-Feb-2014,31-Dec-2013,EE.N^G20
561,Ipalco Enterprises Inc,26-Feb-2014,31-Dec-2013,IPL.N^C01
562,American Electric Power Company Inc,25-Feb-2014,31-Dec-2013,AEP.OQ
563,Tucson Electric Power Co,25-Feb-2014,31-Dec-2013,—
564,Alliant Energy Corp,25-Feb-2014,31-Dec-2013,LNT.OQ
565,Edison International,25-Feb-2014,31-Dec-2013,EIX.N
566,OGE Energy Corp,25-Feb-2014,31-Dec-2013,OGE.N
567,Southwestern Public Service Co,24-Feb-2014,31-Dec-2013,SPS.N^H97
568,Public Service Company of Colorado,24-Feb-2014,31-Dec-2013,—
569,Northern States Power Co (Wisconsin),24-Feb-2014,31-Dec-2013,—
570,Northern States Power Co,24-Feb-2014,31-Dec-2013,—
571,Florida Power & Light Co,24-Feb-2014,31-Dec-2013,ELB.N^L03
572,UIL Holdings Corp (Pre-Merger),20-Feb-2014,31-Dec-2013,UIL.N^L15
573,Idacorp Inc,20-Feb-2014,31-Dec-2013,IDA.N
574,DTE Electric Co,14-Feb-2014,31-Dec-2013,—
575,DTE Energy Co,14-Feb-2014,31-Dec-2013,DTE.N
576,Portland General Electric Co,14-Feb-2014,31-Dec-2013,POR.N
577,Calpine Corp,13-Feb-2014,31-Dec-2013,CPN.N^C18
578,PG&E Corp,11-Feb-2014,31-Dec-2013,PCG.N
579,CMS Energy Corp,06-Feb-2014,31-Dec-2013,CMS.N
580,Ridgewood Power Growth Fund,09-Jan-2014,31-Dec-2013,—
581,Tennessee Valley Authority,18-Nov-2013,30-Sep-2013,TVC.N
582,Solaris Power Cells Inc,28-Oct-2013,31-Jul-2013,SPCL.PK^K18
583,Premier Holding Corp,22-Apr-2013,31-Dec-2012,PRHL.PK
584,GreenWorld Development Inc,16-Apr-2013,31-Dec-2012,GREW.PK^D19
585,EuroSite Power Inc,01-Apr-2013,31-Dec-2012,EUSP.PK
586,Aspirity Holdings LLC,29-Mar-2013,31-Dec-2012,—
587,AEP Texas Central Transition Funding II LLC,28-Mar-2013,31-Dec-2012,—
588,Summer Energy Holdings Inc,28-Mar-2013,31-Dec-2012,SUME.PK
589,CenterPoint Energy Transition Bond II Co LLC,28-Mar-2013,31-Dec-2012,—
590,CenterPoint Energy Transition Bond IV Co LLC,28-Mar-2013,31-Dec-2012,—
591,Entergy Gulf States Reconstruction Funding I LLC,28-Mar-2013,31-Dec-2012,—
592,Entergy Texas Restoration Funding LLC,28-Mar-2013,31-Dec-2012,—
593,Centerpoint Energy Transition Bond Company LLC,28-Mar-2013,31-Dec-2012,—
594,Oglethorpe Power Corp,22-Mar-2013,31-Dec-2012,—
595,Chugach Electric Association Inc,22-Mar-2013,31-Dec-2012,—
596,Edison Mission Energy,18-Mar-2013,31-Dec-2012,—
597,Pineapple Energy Inc,15-Mar-2013,31-Dec-2012,PEGY.OQ
598,Centerpoint Energy Houston Electric LLC,13-Mar-2013,31-Dec-2012,HSLPP.PK^H09
599,Black Hills Power Inc,06-Mar-2013,31-Dec-2012,—
600,Puget Energy Inc,05-Mar-2013,31-Dec-2012,PSD.N^B09
601,Pacificorp,01-Mar-2013,31-Dec-2012,PPWLO.PK
602,MidAmerican Energy Co,01-Mar-2013,31-Dec-2012,—
603,Berkshire Hathaway Energy Co,01-Mar-2013,31-Dec-2012,—
604,PNM Resources Inc,01-Mar-2013,31-Dec-2012,PNM.N
605,ITC Holdings Corp,01-Mar-2013,31-Dec-2012,ITC.N^J16
606,Atlantic City Electric Co,01-Mar-2013,31-Dec-2012,ANTEM.PK^C11
607,Alabama Power Co,28-Feb-2013,31-Dec-2012,ALP_pq.N^J22
608,Evergy Kansas Central Inc,28-Feb-2013,31-Dec-2012,WREGH.PK^F02
609,Dominion Energy South Carolina Inc,28-Feb-2013,31-Dec-2012,SCG_p.N^L09
610,Florida Power & Light Co,28-Feb-2013,31-Dec-2012,ELB.N^L03
611,WEC Energy Group Inc,27-Feb-2013,31-Dec-2012,WEC.N
612,NRG Energy Inc,27-Feb-2013,31-Dec-2012,NRG.N
613,Otter Tail Corp,27-Feb-2013,31-Dec-2012,OTTR.OQ
614,OGE Energy Corp,27-Feb-2013,31-Dec-2012,OGE.N
615,Tucson Electric Power Co,27-Feb-2013,31-Dec-2012,—
616,Ipalco Enterprises Inc,27-Feb-2013,31-Dec-2012,IPL.N^C01
617,Alliant Energy Corp,26-Feb-2013,31-Dec-2012,LNT.OQ
618,Edison International,26-Feb-2013,31-Dec-2012,EIX.N
619,MGE Energy Inc,26-Feb-2013,31-Dec-2012,MGEE.OQ
620,TECO Energy Inc,26-Feb-2013,31-Dec-2012,TE.N^G16
621,El Paso Electric Co,25-Feb-2013,31-Dec-2012,EE.N^G20
622,CH Energy Group Inc,25-Feb-2013,31-Dec-2012,CHG.N^F13
623,Northern States Power Co (Wisconsin),25-Feb-2013,31-Dec-2012,—
624,Southwestern Public Service Co,25-Feb-2013,31-Dec-2012,SPS.N^H97
625,Public Service Company of Colorado,25-Feb-2013,31-Dec-2012,—
626,Northern States Power Co,25-Feb-2013,31-Dec-2012,—
627,Arizona Public Service Co,22-Feb-2013,31-Dec-2012,AZD.N^A00
628,Xcel Energy Inc,22-Feb-2013,31-Dec-2012,XEL.OQ
629,Arizona Public Service Co,22-Feb-2013,31-Dec-2012,AZD.N^A00
630,Empire District Electric Co,22-Feb-2013,31-Dec-2012,EDE.N^A17
631,UIL Holdings Corp (Pre-Merger),21-Feb-2013,31-Dec-2012,UIL.N^L15
632,Consolidated Edison Company of New York Inc,21-Feb-2013,31-Dec-2012,CEDNM.PK^E12
633,PG&E Corp,21-Feb-2013,31-Dec-2012,PCG.N
634,CMS Energy Corp,21-Feb-2013,31-Dec-2012,CMS.N
635,DTE Electric Co,21-Feb-2013,31-Dec-2012,—
636,DTE Energy Co,20-Feb-2013,31-Dec-2012,DTE.N
637,Cleco Corporate Holdings LLC,19-Feb-2013,31-Dec-2012,CNL.N^D16
638,Sempra Texas Intermediate Holding Company LLC,19-Feb-2013,31-Dec-2012,—
639,Energy Future Competitive Holdings Company LLC,19-Feb-2013,31-Dec-2012,TXHCO.PK^J05
640,Sempra Texas Holdings Corp,19-Feb-2013,31-Dec-2012,—
641,Orbital Infrastructure Group Inc,19-Feb-2013,31-Dec-2012,OIGBQ.PK
642,Oncor Electric Delivery Transition Bond Company LLC,19-Feb-2013,31-Dec-2012,—
643,Oncor Electric Delivery Company LLC,19-Feb-2013,31-Dec-2012,—
644,Ridgewood Power Growth Fund,15-Jan-2013,31-Dec-2012,—
645,US Geothermal Inc,13-Jul-2012,31-Mar-2012,HTM.A^D18
646,GreenWorld Development Inc,16-Apr-2012,31-Dec-2011,GREW.PK^D19
647,WindGen Energy Inc,13-Apr-2012,31-Dec-2011,WGEI.PK
648,Premier Holding Corp,11-Apr-2012,31-Dec-2011,PRHL.PK
649,AEP Texas Central Transition Funding II LLC,30-Mar-2012,31-Dec-2011,—
650,Windstream Bv Holdings LLC,30-Mar-2012,31-Dec-2011,BVWN.PK^G17
651,SEFE Inc,29-Mar-2012,31-Dec-2011,SEFE.PK^I15
652,Pg&E Energy Recovery Funding LLC,29-Mar-2012,31-Dec-2011,—
653,Ridgewood Power Growth Fund,29-Mar-2012,31-Dec-2011,—
654,Entergy Texas Restoration Funding LLC,29-Mar-2012,31-Dec-2011,—
655,Entergy Gulf States Reconstruction Funding I LLC,29-Mar-2012,31-Dec-2011,—
656,EME Homer City Generation LP,28-Mar-2012,31-Dec-2011,—
657,DPL Inc,28-Mar-2012,31-Dec-2011,DPL.N^K11
658,CenterPoint Energy Transition Bond II Co LLC,27-Mar-2012,31-Dec-2011,—
659,Centerpoint Energy Transition Bond Company LLC,27-Mar-2012,31-Dec-2011,—
660,Summer Energy Holdings Inc,26-Mar-2012,31-Dec-2011,SUME.PK
661,Orbital Infrastructure Group Inc,26-Mar-2012,31-Dec-2011,OIGBQ.PK
662,EuroSite Power Inc,23-Mar-2012,31-Dec-2011,EUSP.PK
663,Pineapple Energy Inc,15-Mar-2012,31-Dec-2011,PEGY.OQ
664,Central Vermont Public Service Corp,14-Mar-2012,31-Dec-2011,CV.N^F12
665,Black Hills Power Inc,12-Mar-2012,31-Dec-2011,—
666,Centerpoint Energy Houston Electric LLC,12-Mar-2012,31-Dec-2011,HSLPP.PK^H09
667,Puget Energy Inc,05-Mar-2012,05-Mar-2012,PSD.N^B09
668,Otter Tail Corp,29-Feb-2012,31-Dec-2011,OTTR.OQ
669,PNM Resources Inc,29-Feb-2012,31-Dec-2011,PNM.N
670,Midwest Generation LLC,29-Feb-2012,31-Dec-2011,—
671,Southern California Edison Co,29-Feb-2012,31-Dec-2011,SCE_pe.A^I20
672,Edison International,29-Feb-2012,31-Dec-2011,EIX.N
673,Dominion Energy South Carolina Inc,29-Feb-2012,31-Dec-2011,SCG_p.N^L09
674,Baltimore Gas and Electric Co,29-Feb-2012,31-Dec-2011,BGLEN.PK^I16
675,Wisconsin Public Service Corp,29-Feb-2012,31-Dec-2011,WIPSI.PK^K15
676,American Electric Power Company Inc,28-Feb-2012,31-Dec-2011,AEP.OQ
677,Wisconsin Electric Power Co,28-Feb-2012,31-Dec-2011,WELPP.PK
678,WEC Energy Group Inc,28-Feb-2012,31-Dec-2011,WEC.N
679,Tucson Electric Power Co,28-Feb-2012,31-Dec-2011,—
680,Northern States Power Co,27-Feb-2012,31-Dec-2011,—
681,Southwestern Public Service Co,27-Feb-2012,31-Dec-2011,SPS.N^H97
682,Public Service Company of Colorado,27-Feb-2012,31-Dec-2011,—
683,Northern States Power Co (Wisconsin),27-Feb-2012,31-Dec-2011,—
684,El Paso Electric Co,27-Feb-2012,31-Dec-2011,EE.N^G20
685,MidAmerican Energy Co,27-Feb-2012,31-Dec-2011,—
686,Pacificorp,27-Feb-2012,31-Dec-2011,PPWLO.PK
687,Berkshire Hathaway Energy Co,27-Feb-2012,31-Dec-2011,—
688,Ipalco Enterprises Inc,27-Feb-2012,31-Dec-2011,IPL.N^C01
689,Alabama Power Co,24-Feb-2012,31-Dec-2011,ALP_pq.N^J22
690,Connecticut Light and Power Co,24-Feb-2012,31-Dec-2011,CNLPL.PK
691,NV Energy Inc,24-Feb-2012,31-Dec-2011,NVE.N^L13
692,TECO Energy Inc,24-Feb-2012,31-Dec-2011,TE.N^G16
693,MGE Energy Inc,24-Feb-2012,31-Dec-2011,MGEE.OQ
694,Portland General Electric Co,24-Feb-2012,31-Dec-2011,POR.N
695,Evergy Kansas Central Inc,23-Feb-2012,31-Dec-2011,WREGH.PK^F02
696,CMS Energy Corp,23-Feb-2012,31-Dec-2011,CMS.N
697,Empire District Electric Co,23-Feb-2012,31-Dec-2011,EDE.N^A17
698,Cleco Corporate Holdings LLC,22-Feb-2012,31-Dec-2011,CNL.N^D16
699,ITC Holdings Corp,22-Feb-2012,31-Dec-2011,ITC.N^J16
700,UIL Holdings Corp (Pre-Merger),22-Feb-2012,31-Dec-2011,UIL.N^L15
701,ITC Holdings Corp,22-Feb-2012,31-Dec-2011,ITC.N^J16
702,Idacorp Inc,22-Feb-2012,31-Dec-2011,IDA.N
703,Consolidated Edison Company of New York Inc,21-Feb-2012,31-Dec-2011,CEDNM.PK^E12
704,Energy Future Competitive Holdings Company LLC,21-Feb-2012,31-Dec-2011,TXHCO.PK^J05
705,Oncor Electric Delivery Transition Bond Company LLC,21-Feb-2012,31-Dec-2011,—
706,Oncor Electric Delivery Company LLC,21-Feb-2012,31-Dec-2011,—
707,PG&E Corp,16-Feb-2012,31-Dec-2011,PCG.N
708,DTE Electric Co,16-Feb-2012,31-Dec-2011,—
709,DTE Energy Co,16-Feb-2012,31-Dec-2011,DTE.N
710,OGE Energy Corp,16-Feb-2012,31-Dec-2011,OGE.N
711,ALLETE Inc,15-Feb-2012,31-Dec-2011,ALE.N
712,Thermal Energy Storage Inc,31-Jan-2012,31-Dec-2011,THES.PK^L11
713,Revonergy Inc,13-Jan-2012,30-Sep-2011,RNRG.PK^E15
714,Thermal Energy Storage Inc,19-Dec-2011,31-Dec-2010,THES.PK^L11
715,Thermal Energy Storage Inc,19-Dec-2011,31-Dec-2009,THES.PK^L11
