,0,1,2,3,4
178,SPRU.N,31-Dec-2020,US,Solar Electric Utilities,21794478
179,AMPS.N,31-Dec-2020,US,Solar Electric Utilities,21793393
180,PEGY.OQ,31-Dec-2020,US,Electric Utilities (NEC),21792792
181,SMR.N,31-Dec-2020,US,Nuclear Utilities,21792395
182,—,31-Dec-2020,US,"—
+2",21788758
183,FLPWP.PK^C13,31-Dec-2020,US,Electric Utilities (NEC),21787559
184,LFG.N^L22,31-Dec-2020,US,Electric Utilities (NEC),21786895
185,OIGBQ.PK,31-Dec-2020,US,Electric Utilities (NEC),21783726
186,—,31-Dec-2020,US,Electric Utilities (NEC),21778302
187,—,31-Dec-2020,US,"Corporate Financial Services (NEC)
+1",21777830
188,—,31-Dec-2020,US,Electric Utilities (NEC),21772821
189,—,31-Dec-2020,US,Electric Utilities (NEC),21767539
190,—,31-Dec-2020,US,Electric Utilities (NEC),21759156
191,—,31-Dec-2020,US,—,21725225
192,—,31-Dec-2020,US,Electric Utilities (NEC),21716981
193,VIA.OQ,31-Dec-2020,US,Electric Utilities (NEC),21713163
194,CNL.N^D16,31-Dec-2020,US,Electric Utilities (NEC),21710336
195,NRG.N,31-Dec-2020,US,Electric Utilities (NEC),21698234
196,PNM.N,31-Dec-2020,US,Electric Utilities (NEC),21697963
197,AGR.N,31-Dec-2020,US,Electric Utilities (NEC),21697672
198,—,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21692764
199,—,31-Dec-2020,US,Electric Utilities (NEC),21695046
200,ORA.N,31-Dec-2020,US,Alternative Electric Utilities,21691400
201,HAWLI.PK,31-Dec-2020,US,Electric Utilities (NEC),21687627
202,VST.N,31-Dec-2020,US,Electric Utilities (NEC),21683819
203,EVRG.OQ,31-Dec-2020,US,Electric Utilities (NEC),21683620
204,PSD.N^B09,31-Dec-2020,US,Electric Utilities (NEC),21682909
205,OGE.N,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21675541
206,SDO_ph.A^J13,31-Dec-2020,US,"Electric Utilities (NEC)
+2",21681374
207,—,31-Dec-2020,US,Electric Utilities (NEC),21681647
208,EIX.N,31-Dec-2020,US,Electric Utilities (NEC),21680423
209,WIPSI.PK^K15,31-Dec-2020,US,Electric Utilities (NEC),21678472
210,WELPP.PK,31-Dec-2020,US,Electric Utilities (NEC),21678413
211,WEC.N,31-Dec-2020,US,Electric Utilities (NEC),21678288
212,—,31-Dec-2020,US,Electric Utilities (NEC),21676559
213,PCG.N,31-Dec-2020,US,Electric Utilities (NEC),21676565
214,SCG_p.N^L09,31-Dec-2020,US,Electric Utilities (NEC),21676568
