,0,1,2,3,4
137,CEG.OQ,31-Dec-2021,US,Electric Utilities (NEC),22678447
138,EGRKM.PK^K18,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22675629
139,AZD.N^A00,31-Dec-2021,US,Electric Utilities (NEC),22674655
140,EVRG.OQ,31-Dec-2021,US,Electric Utilities (NEC),22673188
141,OGE.N,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22665235
142,EIX.N,31-Dec-2021,US,Electric Utilities (NEC),22671013
143,NRG.N,31-Dec-2021,US,Electric Utilities (NEC),22672559
144,—,31-Dec-2021,US,"Electric Utilities (NEC)
+2",22669356
145,SCG_p.N^L09,31-Dec-2021,US,Electric Utilities (NEC),22669222
146,D.N,31-Dec-2021,US,Electric Utilities (NEC),22669065
147,WIPSI.PK^K15,31-Dec-2021,US,Electric Utilities (NEC),22666912
148,WELPP.PK,31-Dec-2021,US,Electric Utilities (NEC),22666821
149,WEC.N,31-Dec-2021,US,Electric Utilities (NEC),22666707
150,—,31-Dec-2021,US,Electric Utilities (NEC),22666564
151,OGE.N,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22665234
152,AGR.N,31-Dec-2021,US,Electric Utilities (NEC),22663500
153,XEL.OQ,31-Dec-2021,US,Electric Utilities (NEC),22663100
154,—,31-Dec-2021,US,Electric Utilities (NEC),22663111
155,—,31-Dec-2021,US,Electric Utilities (NEC),22663115
156,SPS.N^H97,31-Dec-2021,US,Electric Utilities (NEC),22663120
157,—,31-Dec-2021,US,Electric Utilities (NEC),22663114
158,MGEE.OQ,31-Dec-2021,US,Electric Utilities (NEC),22661225
159,AEE.N,31-Dec-2021,US,"Multiline Utilities
+1",22660100
160,NEP.N,31-Dec-2021,US,Electric Utilities (NEC),22659940
161,CNP.N,31-Dec-2021,US,"Multiline Utilities
+2",22654834
162,LNT.OQ,31-Dec-2021,US,Electric Utilities (NEC),22651869
163,KUTLP.PK^J05,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22651674
164,ELB.N^L03,31-Dec-2021,US,Electric Utilities (NEC),22650799
165,CEDNM.PK^E12,31-Dec-2021,US,"Multiline Utilities
+1",22649159
166,IDA.N,31-Dec-2021,US,Electric Utilities (NEC),22645695
167,CNLPL.PK,31-Dec-2021,US,Electric Utilities (NEC),22645087
168,ALP_pq.N^J22,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22644867
169,POR.N,31-Dec-2021,US,Electric Utilities (NEC),22645230
